body,title
"Фильм поведает нам о том, как снималась известная картина «Волкодав из рода Серых Псов». Лента, вышедшая на экраны в 2006 году, не произвела большого впечатления на критиков, но понравилась узкому кругу любителей фэнтези. Экранизация популярного романа Марии Семеновой расскажет нам о приключениях прославленного война, который, волею судеб, оказался заключен в острог и должен был встретить там свою смерть. Из фильма мы узнаем особенности операторской работы, режиссерские задумки и процесс создания фильма, а также познакомимся поближе с главным героем картины.",Волкодав из рода Серых Псов. Фильм о фильме
"Недавно итальянцы поделились уникальной информацией – они обнаружили древнюю тюрьму, где во время Первой мировой войны находились русские военнопленные. 100 лет эта история считалась легендой. Но к столетию окончания Первой мировой войны Триест, как и многие города мира, рассекретил свои архивы, и легенда ожила. Что здесь делали русские? Зачем их пленение тщательно скрывали от всего мира? И зачем тюрьму, где содержали русских, замуровали?",Солдаты-призраки. Русские в Триесте
"Об историях из жизни бегемотиков, которые беззаботно живут на прекрасном острове. Крокодил Крок рассказывает бегемотикам свои сказки о чудесах окружающего мира.",Волшебное зеркало
"О сериалах можно рассказывать тысячами разных способов. Зачем останавливаться на одном? «Клуб А» - это тележурнал, рубрикатор. У каждой рубрики - свой ведущий, он же редактор со своим особенным стилем. Рассказы о самых актуальных премьерах и классике, эксклюзивные интервью со звездами, репортажи со съемочных площадок и самые разные взгляды на сериалы – со спойлерами и без.",Клуб А
"Действие фильма состоит из восьми частей, каждая из которых рассказывает об определенном этапе в развитии кино. Например, в первой части мы видим, как в городе появляется первый кинотеатр. Афиши с фильмами оживленно расклеивает местный художник, молодая энергичная девушка собирает за вход монетки, а суровый техник крутит ручку проектора. На экранах идет «Стенька Разин» – хит советского киноискусства. Люди толпой валят в кинотеатр, и постепенно из диковинного развлечения кино превращается в общедоступное удовольствие…",Наследный принц республики
"Фильм «Оставивший свет…» посвящён памяти театрального режиссёра, актёра театра и кино Владимира Агеева. Его называли «главным алхимиком современной режиссуры». Ученик Анатолия Васильева, Владимир Агеев прокладывал собственный путь в искусстве. Поиски и исследования привели его к созданию своего творческого стиля, к «Театру тайны и радости». В фильме используются архивные записи репетиций режиссёра, фрагменты из спектаклей.",Оставивший свет...
"Съёмки из экспедиций с холодных берегов Охотского моря, где обитает сивуч, или северный морской лев. Фильм расскажет об этом звере и ответит на вопрос «Сколько в море львов?»",Сколько в море львов?
"Фильм рассказывает историю трёх танцевальных пар, объединённых общей целью: сохранить своё культурное наследие, отношения с любимыми и что-то очень важное внутри самих себя. Их человеческие истории о любви и взаимопомощи несмотря ни на что показывают, как ангольский танец «кизомба» помогает преодолевать глубокие внутренние травмы и находить ответы на самые важные вопросы. Фильм предлагает отправиться в путешествие по Испании, Португалии, Анголе и Панаме, и посмотреть поближе на этническое многообразие героев и корни самого танца.",Dance for it
"Фильм посвящён актеру уникального таланта, блистательному мастеру художественного слова  Александру Филиппенко. В театре и кино Филиппенко исполнил множество разнообразных ролей, как положительных, так и отрицательных героев, сыграл более чем в 100 фильмах, десятках спектаклей. Особенно ему удавались роли «ярких представителей темных сил», как всерьез написал кто-то из критиков.",Александр Филиппенко
,Кухня. Война за отель. Фильм о фильме
"Изучение профессий в форме интересного путешествия ведущего, такого же любознательного, молодого и современного, как зрители программы. Он сам попробует себя в каждой из профессий, поделится впечатлениями со зрителями и поможет узнать больше о тонкостях любой специальности.",Есть такая профессия
"Фильм рассказывает об интереснейшей экспедиции на квадроциклах по российской глубинке. Десяток смельчаков отправился из Питера в Рыбинск по нехоженым тропам, лесовозным колеям и дорогам, оставшимся лишь на военных картах прошлого столетия. Особую пикантность приключению добавляло то, что все квадроциклы — российского производства! Отсюда и название экспедиции — российские квадроциклы ищут свою «дорогу домой»: на завод, где они были произведены. В пути участников ждут лесные приключения, внедорожные подвиги, красота русской природы и настоящее осознание того, что такое дружба и взаимопомощь. Ведь только все вместе они смогут преодолеть эту тысячу километров за 10 дней!",Дорога домой
Сериал рассказывает про отношения между людьми и вулканами.,Вулканы
,Английский язык
"Студенты театрального факультета решают позвонить известному режиссеру. На их удивление он отвечает взаимностью и даже назначает встречу. Ребята хотят сниматься в кино, а что хочет известный режиссер?",Известный режиссер
,Макс и друзья игрушки
"Сина, Ло и динозаврик по имени Дин поют, танцуют и путешествуют вместе. Через веселые песни они познают природу, различные природные явления, а также учат детей дружбе и доброте.",Сина и Ло
"Пять коротких историй познакомят юных зрителей со знаменитым русским купцом Афанасием Никитиным, который отправился за три моря и стал первым европейцем в Индии.",Афанасий
"Мы привыкли видеть в рекламе и на обложках журналов девушек с определенными параметрами. Индустрия моды установила свои правила, но кто сказал, что их нельзя нарушать? В шоу девушки с размером одежды ХL и больше примут участие в специальных испытаниях, профессиональных фотосессиях, съемках и мастер-классах. ",Модель XL
,Азбука безопасности со Смешариками
"Фильм о физиотерапевте московского детского хосписа «Дом с маяком» Илоне Абсандзе. Она родилась в городе Поти (Грузия), в 90-х бежала от войны в Россию и вот уже более 20-ти лет живёт на два города: Санкт-Петербург и Москва. Реставратор зданий по первому образованию, Илона однажды приняла решение кардинально поменять свою жизнь – ушла в детскую физиологию. Она стала помогать детям с особенностями развития – она стала реставратором их хрупких тел.",У черты
,«Товарищ» вирус: Изоляция
"Фильм рассказывает о Валерии Евгеньевиче Конове, профессионализм которого в равной степени распространяется от терапии до хирургии. Секреты доктора Конова раскрывают легенды отечественного хоккея, популярные актеры и многие другие. ",Секреты доктора Конова
"История о жизни в спокойной долине в Альпах забияки Петуха, смелого и бойкого, и его верного и рассудительного друга - Быка.",Альпийская история
Фильм посвящён подготовке и проведению международного интерактивного фестиваля современного искусства в России. Картина даёт возможность заглянуть за кулисы события и увидеть все этапы его создания. ,Artlife Fest: Искусство объединять
"«Двор Нельсона» - это одна из самых популярных неформальных достопримечательностей Санкт-Петербурга. Хозяин двора живет там же, в подвале. Его спокойная и размеренная жизнь идет своим чередом, однако скоро всё может измениться.",Нельсон
"История о непоседливом рыжем мальчишке, который ни секунды не может усидеть на месте и постоянно что-нибудь ломает, разбивает и портит. Устав от его постоянных проделок, родители отправляют сыночка в деревню. Здесь за его воспитание берутся местные животные, а главным опекуном назначен ленивый серый кот Федот, который больше всего любит сладко поспать. Но такой уж характер у мальчишки: выйдя всего лишь спросить, где Федот, он, совершенно этого не желая, устраивает переполох, который переворачивает с ног на голову всю деревню! Мудрый Федот предлагает своему подопечному устроить «день наблюдений» – то есть целый день не делать ничего, только смотреть, а сам Федот в это время будет заниматься любимым занятием – сном. Что получится из такой затеи?",Динь в деревне
"Сериал о творческих людях со всего мира, которые, преодолев свои страхи и сомнения, отправились в путешествие в прекрасную, многогранную российскую Арктику.",Вместе на край света
105-летняя ученица Константина Станиславского оперная певица Большого Театра Ольга Марковна Коляденко преподает вокал в своей московской квартире.,"Певица, которая упала"
"Курьёзы и забавные ситуации, знакомые многим владельцам собак и кошек, из жизни энергичного пса по кличке Клякса и его закадычного оппонента Кота.",Клякса
,Клятва Гиппократа
"Суперкомпьютер Нео и  профессор Белоголовцев теперь проводят эксперименты не с продуктами, а со временем и пространством.",НЕОвечеринка
"Кража картины «Святой Лука» голландского художника Франса Халса из Пушкинского музея стала одним из самых известных преступлений в сфере искусства. Однако мало кто знает, что и до этого похищения судьба полотна была наполнена трагическими событиями. «Святой Лука» мог затонуть во время шторма по пути в Санкт-Петербург. Он мог навсегда остаться у неизвестной старушки, пытавшейся продать картину за 6 рублей на одесском «Привозе». Он мог до сих пор демонстрироваться в Одесской картинной галерее за подписью «картина неизвестного русского художника 19 века».",Странствие «Святого Луки»
"Врачи из разных стран рассказывают, как они боролись и продолжают бороться с пандемией. Интересные факты о коронавирусе от людей, наблюдавших за ним своими глазами, и развенчание мифов вокруг COVID-19.",Товарищ вирус 2.0
,Стань школьником с Робобобриком
"Полезные развлечения: мастерим и экспериментируем, делаем фокусы и танцуем, выполняем интересные задания и смотрим мультики! Вместе с родителями или сами! Безопасный контент подобран проверенными специалистами в области детских онлайн-развлечений.",Непоседы-Домоседы
"Рыжий кот, уходя из дома, захватил в собой только узелок и любимую книгу. В густом лесу он встретил медведя, которому тоже некуда идти. Новые приятели натыкаются на избушку, в которой собираются поселится вместе. Мурлыка сразу приступает к уборке, вытирает пыль и снимает паутину, прогоняет прочь крыс. Однако косолапому больше нравится беспорядок и кавардак. Помогать коту он вовсе не собирается. Сгладить конфликт зачастую помогает задорная песенка, но на это раз становится только хуже…",Двое в доме
"В этом фильме авторы поехали в Боливию, в Латинскую америку, чтобы посмотреть природу Альтиплано и солончак Уюни, а потом спуститься в амазонские джунгли к племени индейцев учупиамона.",Боливия на машине
"Нюрнбергский процесс над руководителями гитлеровской Германии был не только актом справедливого возмездия. Здесь рождались нормы международного права, направленные на сохранение мира и безопасности. Но полвека спустя расклад сил изменился. Теперь уже победители «холодной войны» диктовали миру свои законы. Бомбардировка Югославии, смена режимов в Ливии и Ираке – так проявляло себя право сильного. Фильм рассказывает о кризисе международного правосудия, о двойных стандартах в отношении к своим и чужим.",Право силы или сила права
"1 мая 2006 года в Курске произошло преступление, которое поразило всех жителей края. Была украдена святыня - список чудотворной иконы Божией Матери «Знамение».",Не укради. Возвращение святыни
"В новой программе Сергей Светлаков и его сосед по даче Антон Лирник, заглянувший в гости и оставшийся на время самоизоляции, обсуждают только позитивные новости. Сидя на диване, комики комментируют свадьбу с картонными гостями, любовный дуэт панд в зоопарке Гонконга, чиновника, севшего на шпагат, и другие забавные новости.",Светлые новости
"В годы Второй мировой войны нашей культуре был нанесён колоссальный урон, разграблены и уничтожены сотни музеев. Фильм рассказывает о том, как судьба десятков тысяч картин, скульптур, подлинных шедевров искусства стала настоящим детективом, разгадать который порой помогает случай, счастливое стечение обстоятельств, но чаще всё же планомерная и кропотливая работа людей неравнодушных, настоящих энтузиастов, добивающихся возврата в Россию похищенных нацистами сокровищ.",Возврату подлежит. Долгий путь домой
"В мультфильме остроумно высмеиваются основные человеческие пороки, вредные привычки, а также глубокие привязанности.",Мамин патрет
,Герои большого города
"Александр Ханжонков – первый русский киномагнат. Он заложил основу русской кинематографии. Возводил кинофабрики и открывал для зрителей великих актеров немого кино. Над его фильмами работали лучшие режиссеры, с ним сотрудничали крупные европейские фирмы. Он мог бы сделать больше, если бы не революция.",Киномагнат
"Главный герой сериала – бобренок, который помогает всем и всюду и постоянно попадает в занятные ситуации.",Крепкий зуб
"Фильм о шахсевенах – малоизвестном народе, который сформировался для защиты Персии от Турции и Российской империи. ",Шахсевены
"Видеоряд, в котором черно-белые кадры перемешались с надписями, плакатами и вырезками из газет, иллюстрирует стихотворение поэта Николая Олейникова, редактора журналов «Чиж» и «Еж», известного под псевдонимом Макар Свирепый.",Кто я такой?
"35-летний фотограф Ярослав, который провел много лет в поисках гармонии в Юго-Восточной Азии, возвращается домой, чтобы поздравить восьмилетнего сына Костю с днем рождения. ",Чертово колесо
"Центрфорвард московского «Динамо» и сборной СССР, двукратный чемпион мира, Владимир Юрзинов год за годом поднимался к вершинам тренерского искусства. За его плечами – восемь Олимпиад и девять мировых первенств; на его груди красуются правительственные ордена и медали за хоккейное золото, добытое при его непосредственном тренерском участии. Им воспитана целая плеяда звезд мирового калибра. Юрзиновские университеты прошли многие ныне известные наставники, среди которых Зинэтула Билялетдинов, Петр Воробьев, Олег Знарок. ",Владимир Юрзинов. Хоккей от первого лица
"28 мая 1987 года на Красной площади приземлился спортивный самолет Матиаса Руста. Для многих в Советском Союзе это событие стало огромным потрясением. Куда смотрели пограничники, служба противовоздушной обороны? Вскоре полетели головы. Прошло больше 30 лет, но вопросы остаются. Был ли Руст авантюристом-одиночкой или активным участником большой политической игры? Кто мог направить его самолет, снабдить информацией о том, как пробраться незамеченным в самое сердце страны?",Матиас Руст. Невозможное возможно
"В течение нескольких недель две команды медиумов – темные и светлые – будут проходить всевозможные испытания, используя свои необычные способности и методы. Прежде всего они должны помочь людям, которые обратились в программу, – тем, кто отчаялся, ищет ответы или не знает, как быть дальше.",Черно-белое
"Главный герой истории - мальчик девяти лет, - а вместе с ним и зритель попадает из мира людей в мир магии, где с ним происходят забавные истории.",Сказочные приключения шута
"Четыре раза он мог умереть. Но смерть оказывалась бессильна. Пять лет никто не видел его лица. И еще пять лет никто не слышал его голоса. А когда он заговорил, первый посетитель исцелился от неизлечимой болезни. Он мог стать богатым и знаменитым, но выбрал нищету. Он всю жизнь называл себя «убогим». Но к нему, как к последней надежде, стекались тысячи людей со всей России. Он избегал почестей и славы, но прославился на весь мир. Он жил во имя Господа. И Господь не предал Его забвению.",Серафим — рожденный пламенным
"История о брате и сестре, которых разлучили в детском доме, как сложилась жизнь каждого, их встреча и рассуждения о том, что такое семья, что такое любовь.",Кай
"Ведущим Шалопаю, Умнику, Смешинке и Неженке вместе с юными зрителями предстоит узнать все самое интересное из мира музыки. Например, что такое «звуки», «ноты», «гаммы», «мелизмы», услышать как звучит кларнет, волынка, аккордеон и даже укулеле. Но самое главное — спеть оригинальные детские песни о музыке!",Поющая фа-соль
"Под армянским безоблачным небом, в маленькой армянской деревушке, под лучами красного солнца, живет одна женщина, живет только ради своего сына.",Мам!
"История многодетной семьи, которая уходит на карантин после выдачи последней зарплаты и существует с одиннадцатью детьми в одном доме.",Песчинки
"Немного о страшилке» – мультсериал о приключениях трех друзей – Крота, Летучей мыши и Солнечного Зайчика. ",Немного о Страшилке
"Герои мультфильма – Летучая Мышка и Филин. Летучая мышь живет в своем тихом домике, где всегда царит приятный полумрак. Она так любит темноту, что самый светлый день готова сделать черным и даже хочет перекрасить Солнечного Зайчика. Филин отличается спокойствием и рассудительностью. Он служит начальником статистического управления по надзору за светлячками и гордится своей работой. Они очень разные, но и Мышке, и Филину предстоит столкнуться с непредвиденными трудностями и многое пересмотреть.",Время сказок
"Фильм рассказывает о русской деревне, в которой остался один дом. Раньше здесь кипела жизнь, но теперь в этой деревне живут всего два человека. ",Селезнёво
"В мае 1991 года в Генуе открылась выставка «Русское искусство эпохи Александра II», на ней были представлены 75 полотен Третьяковской галереи. Экспозиция имела колоссальный успех. Оставалось всего три дня до ее закрытия, как один из залов Галереи Вилла Кроче обокрали. Грабители вынесли 18 раритетов, большинство из которых были приобретены для галереи лично ее основателем Павлом Третьяковым. Раскрыть это дело помогли арт-карабинеры – сотрудники первого в мире специального подразделения, которое ведет розыск похищенных культурных ценностей как в Италии, так и за рубежом.",Культурная полиция. Охотники за искусством
"Каждый выпуск программы — это путешествие в мир ботаники и садоводства. Ведущий научит юных зрителей делать грядки прямо у себя на подоконниках, а также расскажет об истории возникновения различных плодовых, ягодных и овощных культур.",Весёлая ферма
Последний открытый процесс над военными преступниками проходил в Новгороде в декабре 1947 года. На скамье подсудимых оказались 19 нацистов – от фельдфебелей до генералов.,Без срока давности. Да судимы будете!
,Моя вторая жизнь
"Фильм рассказывает об уникальной профессии - лесоустроитель. Сюжет строится на захватывающих историях реальных людей и содержит уникальные съемки труднодоступных лесов России. Зрителям предоставляется возможность провести целый час с командой специалистов на диких территориях Сибири и центра России, а также познакомиться с тонкостями и секретами профессии изнутри.",Лесоустроители
"Этот человек входит в список 100 великих дипломатов, оставивших след в истории человечества. Именно он, граф Игнатьев, по окончании Русско-турецкой войны 1877-78 годов, подписал Сан-Стефанский мирный договор, который освободил Болгарию от пятисотлетнего турецкого рабства. Благодаря ему не только Болгария, но и Сербия, Черногория и Румыния стали независимыми государствами. Без него иначе выглядела бы карта не только Европы, но и России. В Болгарии Игнатьев – национальный герой. Однако на родине его имя почти никому неизвестно.",Русский граф Болгаров
"Мультфильм приглашает малышей в далекую жаркую Африку, на берега «крокодиловой реки» Лимпопо. Кроме большого количества крокодилов, здесь живут бегемоты, черепахи, акулы и другие животные, с которыми приключаются любопытные и забавные истории. Одним прекрасным утром к доктору-крокодилу Кроку прибегает перепуганная девочка-бегемот Пейпа. Ее брат Мот серьезно заболел. У него нет температуры, насморка и кашля, у него не болит живот. Всё гораздо сложнее и опаснее: Мот больше не хочет играть ни в какие игры. Он хочет построить плот и уплыть ото всех куда подальше. Таблетки и витамины тут бессильны. Моту надоели развлечения и сладости, даже сестра и песок под ногами его раздражают. Бегству Мота мешает маленькая акула Акулина, которая по просьбе Пейпы ломает его плот. Доктор не знает, как поступить с тяжелым пациентом, который выглядит совершенно здоровым. Оказывается, что главное – поставить верный диагноз.",Не та нога
Документальный фильм о Борисе Покровском.,Рондо оперного патриарха
"Рассказ о том, как порой от крошечного кусочка масла зависит спокойствие всего Королевства.",Королевский завтрак
"В ноябре 1960-го Первый секретарь ЦК КПСС Никита Хрущев прибыл с визитом в Западный Берлин. В городе, разделенном на две части, процветала нелегальная торговля. Хрущев не преминул открыть немецким политикам на это глаза: назвал Берлин «спекулятивным болотом». На что получил ответ: наведите сначала порядок у себя – в Москве существует настоящая подпольная валютная биржа.",Свинцовая оттепель 61-го. Дело валютчиков
"Сын героини поступает в больницу в критическом состоянии. Мама умоляет врачей спасти ребенка, но сталкивается с врачебной некомпетентностью...",Четверг
Как невинные люди попадают в тюрьму? Как главными защитниками становятся матери осуждённых? Фильм показывает бескомпромиссную схватку двух смелых женщин с несовершенством системы российского правосудия.,Особый порядок
"«Лебенсборн» (Lebensborn) – в переводе с немецкого – «источник жизни». Организация была основана в 1935 году. По задумке главы СС Генриха Гиммлера, дома Лебенсборна должны были стать местом, где незамужние женщины могли тайно родить ребёнка и оставить его на воспитание государству. Под лозунгом «Подари ребёнка фюреру!» немецких женщин призывали рожать «истинных арийцев». В реальности программа вылилась в массовое похищение и вывоз детей из СССР и других, оккупированных немцами территорий, в дома Лебенсборн.",Без срока давности. Дети «Лебенсборна»
"Чтобы научиться творить чудеса, не нужно бежать на занятия в классы. Достаточно лишь смотреть замечательную программу, в которой волшебник Илья Ларионов дает уроки всем желающим.",Школа волшебства
"Можно ли обойти весь мир и познакомиться с бытом каждого народа? Пожалуй, это под силу одному Деду-Краеведу по имени Игнат Матвеевич. Он живет на свете так давно, что смог побывать почти в каждом городе России, и теперь отправился путешествовать за рубеж — в Австрию, Германию, Норвегию, Сербию и многие другие страны. Сегодня он готов поведать о своих приключениях ведущей программы Маше, а вместе с ней — всем маленьким зрителям.",В гостях у деда-краеведа
"Фильм о жизни и творчестве актёра и драматурга советского кино Эргаша Хамраева. Взлёт его карьеры начался в 20-30-е годы прошлого века, но вскоре всё пошло прахом, когда его призвали на фронт в июле 1941 года.",Я тебя не забыл
"23 июля 1983 года американская газета «Лос-Анджелес таймс» вышла с сенсационным заголовком: «В России стали убивать друзей Брежнева!» Генсек взял расследование под свой контроль. Тогда, в 83-м, никто не мог представить, что это преступление положит начало череде чудовищных злодеяний, о которых Достоевский писал: «стыдные, позорные, мимо всякого ужаса»…",Мертвые души. Дело Холостякова
"В сентябре 1943 года в немецкий офицерский госпиталь в станице Старотитаровская было доставлено 40 детей в возрасте от 6 до 13 лет, у которых врачи выкачали кровь для переливания раненым немецким офицерам. В результате этой операции все дети погибли. Это – всего лишь одно из чудовищных преступлений, в которых обвинялись командующий оккупационными войсками Германии в Крыму генерал Эрвин Енеке и еще 11 немецких офицеров на Севастопольском процессе.",Без срока давности. «Мертвая зона» и «Живой щит»
"Главные герои — странноватая парочка: рыжий хитрый кот и большой добродушный медведь. Они уже давно закадычные друзья, только все это время умудряются плутовать и сочинять небылицы. Причем обычно непонятно, кто выйдет победителем. Например, Кот старается отвлечь Медведя и тайком провернуть какое-то дело, а ведь Медведь уже успел провести Кота и сделать что-то, не соответствующее общей договоренности.",Снова двое
"С каждым годом все меньше белых пятен остается в истории русского революционного движения 1917 года. Однако до сих пор два знаковых события того года - Государственное Московское совещание и Поместный Собор Русской Православной Церкви – остаются на периферии исторической памяти. Но значение их все больше требует осмысления, как со стороны исследователей, так и со стороны общества в целом. Именно тогда, в августе 17-го, еще было возможно удержать страну от распада и кровопролития.",Хроника безвременья
"История трёх героинь, живущих в разные эпохи, в разных культурных и социальных обстоятельствах. Их истории похожи и не похожи одновременно. Они встретили любовь, и они разочаровались в любви. Они познали боль утраты любви, страх осуждения и чувство одиночества и ненужности. Но самое главное: они потеряли надежду и они не видят выхода. Они подходят к границе, за которой – смерть.",Голос
Как молодой рыбак ради любви к морской деве отказался от своей души.,Рыбак и его душа
Смешная лирическая история о дружбе бобра и белочки.,Настоящая сказка
